"week","staff_id","staff_name","role","service","present"
1,"STF-317a74b9","Tommy Walter","nurse","emergency",1
2,"STF-317a74b9","Tommy Walter","nurse","emergency",1
3,"STF-317a74b9","Tommy Walter","nurse","emergency",0
4,"STF-317a74b9","Tommy Walter","nurse","emergency",1
5,"STF-317a74b9","Tommy Walter","nurse","emergency",1
6,"STF-317a74b9","Tommy Walter","nurse","emergency",0
7,"STF-317a74b9","Tommy Walter","nurse","emergency",1
8,"STF-317a74b9","Tommy Walter","nurse","emergency",1
9,"STF-317a74b9","Tommy Walter","nurse","emergency",0
10,"STF-317a74b9","Tommy Walter","nurse","emergency",1
11,"STF-317a74b9","Tommy Walter","nurse","emergency",0
12,"STF-317a74b9","Tommy Walter","nurse","emergency",0
13,"STF-317a74b9","Tommy Walter","nurse","emergency",1
14,"STF-317a74b9","Tommy Walter","nurse","emergency",1
15,"STF-317a74b9","Tommy Walter","nurse","emergency",0
16,"STF-317a74b9","Tommy Walter","nurse","emergency",1
17,"STF-317a74b9","Tommy Walter","nurse","emergency",1
18,"STF-317a74b9","Tommy Walter","nurse","emergency",0
19,"STF-317a74b9","Tommy Walter","nurse","emergency",1
20,"STF-317a74b9","Tommy Walter","nurse","emergency",1
21,"STF-317a74b9","Tommy Walter","nurse","emergency",0
22,"STF-317a74b9","Tommy Walter","nurse","emergency",1
23,"STF-317a74b9","Tommy Walter","nurse","emergency",1
24,"STF-317a74b9","Tommy Walter","nurse","emergency",0
25,"STF-317a74b9","Tommy Walter","nurse","emergency",1
26,"STF-317a74b9","Tommy Walter","nurse","emergency",1
27,"STF-317a74b9","Tommy Walter","nurse","emergency",0
28,"STF-317a74b9","Tommy Walter","nurse","emergency",1
29,"STF-317a74b9","Tommy Walter","nurse","emergency",1
30,"STF-317a74b9","Tommy Walter","nurse","emergency",0
31,"STF-317a74b9","Tommy Walter","nurse","emergency",0
32,"STF-317a74b9","Tommy Walter","nurse","emergency",1
33,"STF-317a74b9","Tommy Walter","nurse","emergency",0
34,"STF-317a74b9","Tommy Walter","nurse","emergency",1
35,"STF-317a74b9","Tommy Walter","nurse","emergency",1
36,"STF-317a74b9","Tommy Walter","nurse","emergency",0
37,"STF-317a74b9","Tommy Walter","nurse","emergency",1
38,"STF-317a74b9","Tommy Walter","nurse","emergency",1
39,"STF-317a74b9","Tommy Walter","nurse","emergency",0
40,"STF-317a74b9","Tommy Walter","nurse","emergency",1
41,"STF-317a74b9","Tommy Walter","nurse","emergency",1
42,"STF-317a74b9","Tommy Walter","nurse","emergency",0
43,"STF-317a74b9","Tommy Walter","nurse","emergency",1
44,"STF-317a74b9","Tommy Walter","nurse","emergency",1
45,"STF-317a74b9","Tommy Walter","nurse","emergency",0
46,"STF-317a74b9","Tommy Walter","nurse","emergency",1
47,"STF-317a74b9","Tommy Walter","nurse","emergency",1
48,"STF-317a74b9","Tommy Walter","nurse","emergency",0
49,"STF-317a74b9","Tommy Walter","nurse","emergency",1
50,"STF-317a74b9","Tommy Walter","nurse","emergency",1
51,"STF-317a74b9","Tommy Walter","nurse","emergency",0
52,"STF-317a74b9","Tommy Walter","nurse","emergency",1
1,"STF-1ad309f8","Matthew Foster","nurse","emergency",1
2,"STF-1ad309f8","Matthew Foster","nurse","emergency",1
3,"STF-1ad309f8","Matthew Foster","nurse","emergency",0
4,"STF-1ad309f8","Matthew Foster","nurse","emergency",1
5,"STF-1ad309f8","Matthew Foster","nurse","emergency",1
6,"STF-1ad309f8","Matthew Foster","nurse","emergency",0
7,"STF-1ad309f8","Matthew Foster","nurse","emergency",1
8,"STF-1ad309f8","Matthew Foster","nurse","emergency",1
9,"STF-1ad309f8","Matthew Foster","nurse","emergency",0
10,"STF-1ad309f8","Matthew Foster","nurse","emergency",1
11,"STF-1ad309f8","Matthew Foster","nurse","emergency",1
12,"STF-1ad309f8","Matthew Foster","nurse","emergency",0
13,"STF-1ad309f8","Matthew Foster","nurse","emergency",1
14,"STF-1ad309f8","Matthew Foster","nurse","emergency",0
15,"STF-1ad309f8","Matthew Foster","nurse","emergency",0
16,"STF-1ad309f8","Matthew Foster","nurse","emergency",1
17,"STF-1ad309f8","Matthew Foster","nurse","emergency",1
18,"STF-1ad309f8","Matthew Foster","nurse","emergency",0
19,"STF-1ad309f8","Matthew Foster","nurse","emergency",1
20,"STF-1ad309f8","Matthew Foster","nurse","emergency",1
21,"STF-1ad309f8","Matthew Foster","nurse","emergency",0
22,"STF-1ad309f8","Matthew Foster","nurse","emergency",1
23,"STF-1ad309f8","Matthew Foster","nurse","emergency",1
24,"STF-1ad309f8","Matthew Foster","nurse","emergency",0
25,"STF-1ad309f8","Matthew Foster","nurse","emergency",1
26,"STF-1ad309f8","Matthew Foster","nurse","emergency",1
27,"STF-1ad309f8","Matthew Foster","nurse","emergency",0
28,"STF-1ad309f8","Matthew Foster","nurse","emergency",1
29,"STF-1ad309f8","Matthew Foster","nurse","emergency",0
30,"STF-1ad309f8","Matthew Foster","nurse","emergency",0
31,"STF-1ad309f8","Matthew Foster","nurse","emergency",1
32,"STF-1ad309f8","Matthew Foster","nurse","emergency",1
33,"STF-1ad309f8","Matthew Foster","nurse","emergency",0
34,"STF-1ad309f8","Matthew Foster","nurse","emergency",1
35,"STF-1ad309f8","Matthew Foster","nurse","emergency",0
36,"STF-1ad309f8","Matthew Foster","nurse","emergency",0
37,"STF-1ad309f8","Matthew Foster","nurse","emergency",1
38,"STF-1ad309f8","Matthew Foster","nurse","emergency",1
39,"STF-1ad309f8","Matthew Foster","nurse","emergency",0
40,"STF-1ad309f8","Matthew Foster","nurse","emergency",1
41,"STF-1ad309f8","Matthew Foster","nurse","emergency",1
42,"STF-1ad309f8","Matthew Foster","nurse","emergency",0
43,"STF-1ad309f8","Matthew Foster","nurse","emergency",0
44,"STF-1ad309f8","Matthew Foster","nurse","emergency",1
45,"STF-1ad309f8","Matthew Foster","nurse","emergency",0
46,"STF-1ad309f8","Matthew Foster","nurse","emergency",1
47,"STF-1ad309f8","Matthew Foster","nurse","emergency",1
48,"STF-1ad309f8","Matthew Foster","nurse","emergency",0
49,"STF-1ad309f8","Matthew Foster","nurse","emergency",1
50,"STF-1ad309f8","Matthew Foster","nurse","emergency",1
51,"STF-1ad309f8","Matthew Foster","nurse","emergency",0
52,"STF-1ad309f8","Matthew Foster","nurse","emergency",0
1,"STF-4ed3b149","Judy Baker","nurse","emergency",1
2,"STF-4ed3b149","Judy Baker","nurse","emergency",1
3,"STF-4ed3b149","Judy Baker","nurse","emergency",0
4,"STF-4ed3b149","Judy Baker","nurse","emergency",0
5,"STF-4ed3b149","Judy Baker","nurse","emergency",1
6,"STF-4ed3b149","Judy Baker","nurse","emergency",0
7,"STF-4ed3b149","Judy Baker","nurse","emergency",1
8,"STF-4ed3b149","Judy Baker","nurse","emergency",1
9,"STF-4ed3b149","Judy Baker","nurse","emergency",0
10,"STF-4ed3b149","Judy Baker","nurse","emergency",1
11,"STF-4ed3b149","Judy Baker","nurse","emergency",1
12,"STF-4ed3b149","Judy Baker","nurse","emergency",0
13,"STF-4ed3b149","Judy Baker","nurse","emergency",1
14,"STF-4ed3b149","Judy Baker","nurse","emergency",1
15,"STF-4ed3b149","Judy Baker","nurse","emergency",0
16,"STF-4ed3b149","Judy Baker","nurse","emergency",1
17,"STF-4ed3b149","Judy Baker","nurse","emergency",1
18,"STF-4ed3b149","Judy Baker","nurse","emergency",0
19,"STF-4ed3b149","Judy Baker","nurse","emergency",0
20,"STF-4ed3b149","Judy Baker","nurse","emergency",1
21,"STF-4ed3b149","Judy Baker","nurse","emergency",0
22,"STF-4ed3b149","Judy Baker","nurse","emergency",1
23,"STF-4ed3b149","Judy Baker","nurse","emergency",1
24,"STF-4ed3b149","Judy Baker","nurse","emergency",0
25,"STF-4ed3b149","Judy Baker","nurse","emergency",1
26,"STF-4ed3b149","Judy Baker","nurse","emergency",1
27,"STF-4ed3b149","Judy Baker","nurse","emergency",0
28,"STF-4ed3b149","Judy Baker","nurse","emergency",1
29,"STF-4ed3b149","Judy Baker","nurse","emergency",1
30,"STF-4ed3b149","Judy Baker","nurse","emergency",0
31,"STF-4ed3b149","Judy Baker","nurse","emergency",0
32,"STF-4ed3b149","Judy Baker","nurse","emergency",1
33,"STF-4ed3b149","Judy Baker","nurse","emergency",0
34,"STF-4ed3b149","Judy Baker","nurse","emergency",0
35,"STF-4ed3b149","Judy Baker","nurse","emergency",1
36,"STF-4ed3b149","Judy Baker","nurse","emergency",0
37,"STF-4ed3b149","Judy Baker","nurse","emergency",1
38,"STF-4ed3b149","Judy Baker","nurse","emergency",1
39,"STF-4ed3b149","Judy Baker","nurse","emergency",0
40,"STF-4ed3b149","Judy Baker","nurse","emergency",1
41,"STF-4ed3b149","Judy Baker","nurse","emergency",1
42,"STF-4ed3b149","Judy Baker","nurse","emergency",0
43,"STF-4ed3b149","Judy Baker","nurse","emergency",1
44,"STF-4ed3b149","Judy Baker","nurse","emergency",1
45,"STF-4ed3b149","Judy Baker","nurse","emergency",0
46,"STF-4ed3b149","Judy Baker","nurse","emergency",1
47,"STF-4ed3b149","Judy Baker","nurse","emergency",1
48,"STF-4ed3b149","Judy Baker","nurse","emergency",0
49,"STF-4ed3b149","Judy Baker","nurse","emergency",1
50,"STF-4ed3b149","Judy Baker","nurse","emergency",1
51,"STF-4ed3b149","Judy Baker","nurse","emergency",0
52,"STF-4ed3b149","Judy Baker","nurse","emergency",1
1,"STF-a8e146c6","Justin Baker","nurse","emergency",0
2,"STF-a8e146c6","Justin Baker","nurse","emergency",1
3,"STF-a8e146c6","Justin Baker","nurse","emergency",0
4,"STF-a8e146c6","Justin Baker","nurse","emergency",1
5,"STF-a8e146c6","Justin Baker","nurse","emergency",1
6,"STF-a8e146c6","Justin Baker","nurse","emergency",0
7,"STF-a8e146c6","Justin Baker","nurse","emergency",1
8,"STF-a8e146c6","Justin Baker","nurse","emergency",1
9,"STF-a8e146c6","Justin Baker","nurse","emergency",0
10,"STF-a8e146c6","Justin Baker","nurse","emergency",1
11,"STF-a8e146c6","Justin Baker","nurse","emergency",0
12,"STF-a8e146c6","Justin Baker","nurse","emergency",0
13,"STF-a8e146c6","Justin Baker","nurse","emergency",1
14,"STF-a8e146c6","Justin Baker","nurse","emergency",1
15,"STF-a8e146c6","Justin Baker","nurse","emergency",0
16,"STF-a8e146c6","Justin Baker","nurse","emergency",1
17,"STF-a8e146c6","Justin Baker","nurse","emergency",1
18,"STF-a8e146c6","Justin Baker","nurse","emergency",0
19,"STF-a8e146c6","Justin Baker","nurse","emergency",1
20,"STF-a8e146c6","Justin Baker","nurse","emergency",1
21,"STF-a8e146c6","Justin Baker","nurse","emergency",0
22,"STF-a8e146c6","Justin Baker","nurse","emergency",1
23,"STF-a8e146c6","Justin Baker","nurse","emergency",1
24,"STF-a8e146c6","Justin Baker","nurse","emergency",0
25,"STF-a8e146c6","Justin Baker","nurse","emergency",1
26,"STF-a8e146c6","Justin Baker","nurse","emergency",1
27,"STF-a8e146c6","Justin Baker","nurse","emergency",0
28,"STF-a8e146c6","Justin Baker","nurse","emergency",1
29,"STF-a8e146c6","Justin Baker","nurse","emergency",0
30,"STF-a8e146c6","Justin Baker","nurse","emergency",0
31,"STF-a8e146c6","Justin Baker","nurse","emergency",1
32,"STF-a8e146c6","Justin Baker","nurse","emergency",1
33,"STF-a8e146c6","Justin Baker","nurse","emergency",0
34,"STF-a8e146c6","Justin Baker","nurse","emergency",1
35,"STF-a8e146c6","Justin Baker","nurse","emergency",1
36,"STF-a8e146c6","Justin Baker","nurse","emergency",0
37,"STF-a8e146c6","Justin Baker","nurse","emergency",1
38,"STF-a8e146c6","Justin Baker","nurse","emergency",1
39,"STF-a8e146c6","Justin Baker","nurse","emergency",0
40,"STF-a8e146c6","Justin Baker","nurse","emergency",1
41,"STF-a8e146c6","Justin Baker","nurse","emergency",1
42,"STF-a8e146c6","Justin Baker","nurse","emergency",0
43,"STF-a8e146c6","Justin Baker","nurse","emergency",1
44,"STF-a8e146c6","Justin Baker","nurse","emergency",1
45,"STF-a8e146c6","Justin Baker","nurse","emergency",0
46,"STF-a8e146c6","Justin Baker","nurse","emergency",0
47,"STF-a8e146c6","Justin Baker","nurse","emergency",1
48,"STF-a8e146c6","Justin Baker","nurse","emergency",0
49,"STF-a8e146c6","Justin Baker","nurse","emergency",1
50,"STF-a8e146c6","Justin Baker","nurse","emergency",1
51,"STF-a8e146c6","Justin Baker","nurse","emergency",0
52,"STF-a8e146c6","Justin Baker","nurse","emergency",1
1,"STF-b9e859d8","Stephanie Ross","nurse","emergency",1
2,"STF-b9e859d8","Stephanie Ross","nurse","emergency",1
3,"STF-b9e859d8","Stephanie Ross","nurse","emergency",0
4,"STF-b9e859d8","Stephanie Ross","nurse","emergency",1
5,"STF-b9e859d8","Stephanie Ross","nurse","emergency",1
6,"STF-b9e859d8","Stephanie Ross","nurse","emergency",0
7,"STF-b9e859d8","Stephanie Ross","nurse","emergency",1
8,"STF-b9e859d8","Stephanie Ross","nurse","emergency",1
9,"STF-b9e859d8","Stephanie Ross","nurse","emergency",0
10,"STF-b9e859d8","Stephanie Ross","nurse","emergency",1
11,"STF-b9e859d8","Stephanie Ross","nurse","emergency",1
12,"STF-b9e859d8","Stephanie Ross","nurse","emergency",0
13,"STF-b9e859d8","Stephanie Ross","nurse","emergency",1
14,"STF-b9e859d8","Stephanie Ross","nurse","emergency",0
15,"STF-b9e859d8","Stephanie Ross","nurse","emergency",0
16,"STF-b9e859d8","Stephanie Ross","nurse","emergency",1
17,"STF-b9e859d8","Stephanie Ross","nurse","emergency",1
18,"STF-b9e859d8","Stephanie Ross","nurse","emergency",0
19,"STF-b9e859d8","Stephanie Ross","nurse","emergency",1
20,"STF-b9e859d8","Stephanie Ross","nurse","emergency",1
21,"STF-b9e859d8","Stephanie Ross","nurse","emergency",0
22,"STF-b9e859d8","Stephanie Ross","nurse","emergency",1
23,"STF-b9e859d8","Stephanie Ross","nurse","emergency",1
24,"STF-b9e859d8","Stephanie Ross","nurse","emergency",0
25,"STF-b9e859d8","Stephanie Ross","nurse","emergency",1
26,"STF-b9e859d8","Stephanie Ross","nurse","emergency",1
27,"STF-b9e859d8","Stephanie Ross","nurse","emergency",0
28,"STF-b9e859d8","Stephanie Ross","nurse","emergency",1
29,"STF-b9e859d8","Stephanie Ross","nurse","emergency",1
30,"STF-b9e859d8","Stephanie Ross","nurse","emergency",0
31,"STF-b9e859d8","Stephanie Ross","nurse","emergency",1
32,"STF-b9e859d8","Stephanie Ross","nurse","emergency",1
33,"STF-b9e859d8","Stephanie Ross","nurse","emergency",0
34,"STF-b9e859d8","Stephanie Ross","nurse","emergency",1
35,"STF-b9e859d8","Stephanie Ross","nurse","emergency",1
36,"STF-b9e859d8","Stephanie Ross","nurse","emergency",0
37,"STF-b9e859d8","Stephanie Ross","nurse","emergency",1
38,"STF-b9e859d8","Stephanie Ross","nurse","emergency",1
39,"STF-b9e859d8","Stephanie Ross","nurse","emergency",0
40,"STF-b9e859d8","Stephanie Ross","nurse","emergency",1
41,"STF-b9e859d8","Stephanie Ross","nurse","emergency",1
42,"STF-b9e859d8","Stephanie Ross","nurse","emergency",0
43,"STF-b9e859d8","Stephanie Ross","nurse","emergency",1
44,"STF-b9e859d8","Stephanie Ross","nurse","emergency",1
45,"STF-b9e859d8","Stephanie Ross","nurse","emergency",0
46,"STF-b9e859d8","Stephanie Ross","nurse","emergency",1
47,"STF-b9e859d8","Stephanie Ross","nurse","emergency",1
48,"STF-b9e859d8","Stephanie Ross","nurse","emergency",0
49,"STF-b9e859d8","Stephanie Ross","nurse","emergency",1
50,"STF-b9e859d8","Stephanie Ross","nurse","emergency",1
51,"STF-b9e859d8","Stephanie Ross","nurse","emergency",0
52,"STF-b9e859d8","Stephanie Ross","nurse","emergency",1
1,"STF-bc4c419e","Zachary Hicks","nurse","emergency",1
2,"STF-bc4c419e","Zachary Hicks","nurse","emergency",1
3,"STF-bc4c419e","Zachary Hicks","nurse","emergency",0
4,"STF-bc4c419e","Zachary Hicks","nurse","emergency",1
5,"STF-bc4c419e","Zachary Hicks","nurse","emergency",1
6,"STF-bc4c419e","Zachary Hicks","nurse","emergency",0
7,"STF-bc4c419e","Zachary Hicks","nurse","emergency",1
8,"STF-bc4c419e","Zachary Hicks","nurse","emergency",1
9,"STF-bc4c419e","Zachary Hicks","nurse","emergency",0
10,"STF-bc4c419e","Zachary Hicks","nurse","emergency",1
11,"STF-bc4c419e","Zachary Hicks","nurse","emergency",1
12,"STF-bc4c419e","Zachary Hicks","nurse","emergency",0
13,"STF-bc4c419e","Zachary Hicks","nurse","emergency",1
14,"STF-bc4c419e","Zachary Hicks","nurse","emergency",1
15,"STF-bc4c419e","Zachary Hicks","nurse","emergency",0
16,"STF-bc4c419e","Zachary Hicks","nurse","emergency",1
17,"STF-bc4c419e","Zachary Hicks","nurse","emergency",1
18,"STF-bc4c419e","Zachary Hicks","nurse","emergency",0
19,"STF-bc4c419e","Zachary Hicks","nurse","emergency",0
20,"STF-bc4c419e","Zachary Hicks","nurse","emergency",1
21,"STF-bc4c419e","Zachary Hicks","nurse","emergency",0
22,"STF-bc4c419e","Zachary Hicks","nurse","emergency",1
23,"STF-bc4c419e","Zachary Hicks","nurse","emergency",1
24,"STF-bc4c419e","Zachary Hicks","nurse","emergency",0
25,"STF-bc4c419e","Zachary Hicks","nurse","emergency",1
26,"STF-bc4c419e","Zachary Hicks","nurse","emergency",1
27,"STF-bc4c419e","Zachary Hicks","nurse","emergency",0
28,"STF-bc4c419e","Zachary Hicks","nurse","emergency",1
29,"STF-bc4c419e","Zachary Hicks","nurse","emergency",1
30,"STF-bc4c419e","Zachary Hicks","nurse","emergency",0
31,"STF-bc4c419e","Zachary Hicks","nurse","emergency",1
32,"STF-bc4c419e","Zachary Hicks","nurse","emergency",1
33,"STF-bc4c419e","Zachary Hicks","nurse","emergency",0
34,"STF-bc4c419e","Zachary Hicks","nurse","emergency",1
35,"STF-bc4c419e","Zachary Hicks","nurse","emergency",0
36,"STF-bc4c419e","Zachary Hicks","nurse","emergency",0
37,"STF-bc4c419e","Zachary Hicks","nurse","emergency",1
38,"STF-bc4c419e","Zachary Hicks","nurse","emergency",1
39,"STF-bc4c419e","Zachary Hicks","nurse","emergency",0
40,"STF-bc4c419e","Zachary Hicks","nurse","emergency",1
41,"STF-bc4c419e","Zachary Hicks","nurse","emergency",1
42,"STF-bc4c419e","Zachary Hicks","nurse","emergency",0
43,"STF-bc4c419e","Zachary Hicks","nurse","emergency",1
44,"STF-bc4c419e","Zachary Hicks","nurse","emergency",1
45,"STF-bc4c419e","Zachary Hicks","nurse","emergency",0
46,"STF-bc4c419e","Zachary Hicks","nurse","emergency",1
47,"STF-bc4c419e","Zachary Hicks","nurse","emergency",1
48,"STF-bc4c419e","Zachary Hicks","nurse","emergency",0
49,"STF-bc4c419e","Zachary Hicks","nurse","emergency",1
50,"STF-bc4c419e","Zachary Hicks","nurse","emergency",1
51,"STF-bc4c419e","Zachary Hicks","nurse","emergency",0
52,"STF-bc4c419e","Zachary Hicks","nurse","emergency",1
1,"STF-15c07995","Anthony Rodriguez","nurse","emergency",1
2,"STF-15c07995","Anthony Rodriguez","nurse","emergency",0
3,"STF-15c07995","Anthony Rodriguez","nurse","emergency",0
4,"STF-15c07995","Anthony Rodriguez","nurse","emergency",1
5,"STF-15c07995","Anthony Rodriguez","nurse","emergency",1
6,"STF-15c07995","Anthony Rodriguez","nurse","emergency",0
7,"STF-15c07995","Anthony Rodriguez","nurse","emergency",1
8,"STF-15c07995","Anthony Rodriguez","nurse","emergency",1
9,"STF-15c07995","Anthony Rodriguez","nurse","emergency",0
10,"STF-15c07995","Anthony Rodriguez","nurse","emergency",1
11,"STF-15c07995","Anthony Rodriguez","nurse","emergency",1
12,"STF-15c07995","Anthony Rodriguez","nurse","emergency",0
13,"STF-15c07995","Anthony Rodriguez","nurse","emergency",1
14,"STF-15c07995","Anthony Rodriguez","nurse","emergency",1
15,"STF-15c07995","Anthony Rodriguez","nurse","emergency",0
16,"STF-15c07995","Anthony Rodriguez","nurse","emergency",1
17,"STF-15c07995","Anthony Rodriguez","nurse","emergency",1
18,"STF-15c07995","Anthony Rodriguez","nurse","emergency",0
19,"STF-15c07995","Anthony Rodriguez","nurse","emergency",1
20,"STF-15c07995","Anthony Rodriguez","nurse","emergency",1
21,"STF-15c07995","Anthony Rodriguez","nurse","emergency",0
22,"STF-15c07995","Anthony Rodriguez","nurse","emergency",1
23,"STF-15c07995","Anthony Rodriguez","nurse","emergency",0
24,"STF-15c07995","Anthony Rodriguez","nurse","emergency",0
25,"STF-15c07995","Anthony Rodriguez","nurse","emergency",1
26,"STF-15c07995","Anthony Rodriguez","nurse","emergency",1
27,"STF-15c07995","Anthony Rodriguez","nurse","emergency",0
28,"STF-15c07995","Anthony Rodriguez","nurse","emergency",1
29,"STF-15c07995","Anthony Rodriguez","nurse","emergency",1
30,"STF-15c07995","Anthony Rodriguez","nurse","emergency",0
31,"STF-15c07995","Anthony Rodriguez","nurse","emergency",1
32,"STF-15c07995","Anthony Rodriguez","nurse","emergency",0
33,"STF-15c07995","Anthony Rodriguez","nurse","emergency",0
34,"STF-15c07995","Anthony Rodriguez","nurse","emergency",1
35,"STF-15c07995","Anthony Rodriguez","nurse","emergency",1
36,"STF-15c07995","Anthony Rodriguez","nurse","emergency",0
37,"STF-15c07995","Anthony Rodriguez","nurse","emergency",1
38,"STF-15c07995","Anthony Rodriguez","nurse","emergency",1
39,"STF-15c07995","Anthony Rodriguez","nurse","emergency",0
40,"STF-15c07995","Anthony Rodriguez","nurse","emergency",1
41,"STF-15c07995","Anthony Rodriguez","nurse","emergency",1
42,"STF-15c07995","Anthony Rodriguez","nurse","emergency",0
43,"STF-15c07995","Anthony Rodriguez","nurse","emergency",1
44,"STF-15c07995","Anthony Rodriguez","nurse","emergency",1
45,"STF-15c07995","Anthony Rodriguez","nurse","emergency",0
46,"STF-15c07995","Anthony Rodriguez","nurse","emergency",1
47,"STF-15c07995","Anthony Rodriguez","nurse","emergency",1
48,"STF-15c07995","Anthony Rodriguez","nurse","emergency",0
49,"STF-15c07995","Anthony Rodriguez","nurse","emergency",1
50,"STF-15c07995","Anthony Rodriguez","nurse","emergency",1
51,"STF-15c07995","Anthony Rodriguez","nurse","emergency",0
52,"STF-15c07995","Anthony Rodriguez","nurse","emergency",1
1,"STF-0aaed714","Rebecca Henderson","nursing_assistant","emergency",1
2,"STF-0aaed714","Rebecca Henderson","nursing_assistant","emergency",1
3,"STF-0aaed714","Rebecca Henderson","nursing_assistant","emergency",0
4,"STF-0aaed714","Rebecca Henderson","nursing_assistant","emergency",0
5,"STF-0aaed714","Rebecca Henderson","nursing_assistant","emergency",1
6,"STF-0aaed714","Rebecca Henderson","nursing_assistant","emergency",0
7,"STF-0aaed714","Rebecca Henderson","nursing_assistant","emergency",1
8,"STF-0aaed714","Rebecca Henderson","nursing_assistant","emergency",1
9,"STF-0aaed714","Rebecca Henderson","nursing_assistant","emergency",0
10,"STF-0aaed714","Rebecca Henderson","nursing_assistant","emergency",1
11,"STF-0aaed714","Rebecca Henderson","nursing_assistant","emergency",1
12,"STF-0aaed714","Rebecca Henderson","nursing_assistant","emergency",0
13,"STF-0aaed714","Rebecca Henderson","nursing_assistant","emergency",1
14,"STF-0aaed714","Rebecca Henderson","nursing_assistant","emergency",1
15,"STF-0aaed714","Rebecca Henderson","nursing_assistant","emergency",0
16,"STF-0aaed714","Rebecca Henderson","nursing_assistant","emergency",1
17,"STF-0aaed714","Rebecca Henderson","nursing_assistant","emergency",1
18,"STF-0aaed714","Rebecca Henderson","nursing_assistant","emergency",0
19,"STF-0aaed714","Rebecca Henderson","nursing_assistant","emergency",1
20,"STF-0aaed714","Rebecca Henderson","nursing_assistant","emergency",1
21,"STF-0aaed714","Rebecca Henderson","nursing_assistant","emergency",0
22,"STF-0aaed714","Rebecca Henderson","nursing_assistant","emergency",1
23,"STF-0aaed714","Rebecca Henderson","nursing_assistant","emergency",1
24,"STF-0aaed714","Rebecca Henderson","nursing_assistant","emergency",0
25,"STF-0aaed714","Rebecca Henderson","nursing_assistant","emergency",1
26,"STF-0aaed714","Rebecca Henderson","nursing_assistant","emergency",1
27,"STF-0aaed714","Rebecca Henderson","nursing_assistant","emergency",0
28,"STF-0aaed714","Rebecca Henderson","nursing_assistant","emergency",1
29,"STF-0aaed714","Rebecca Henderson","nursing_assistant","emergency",1
30,"STF-0aaed714","Rebecca Henderson","nursing_assistant","emergency",0
31,"STF-0aaed714","Rebecca Henderson","nursing_assistant","emergency",1
32,"STF-0aaed714","Rebecca Henderson","nursing_assistant","emergency",1
33,"STF-0aaed714","Rebecca Henderson","nursing_assistant","emergency",0
34,"STF-0aaed714","Rebecca Henderson","nursing_assistant","emergency",1
35,"STF-0aaed714","Rebecca Henderson","nursing_assistant","emergency",1
36,"STF-0aaed714","Rebecca Henderson","nursing_assistant","emergency",0
37,"STF-0aaed714","Rebecca Henderson","nursing_assistant","emergency",1
38,"STF-0aaed714","Rebecca Henderson","nursing_assistant","emergency",1
39,"STF-0aaed714","Rebecca Henderson","nursing_assistant","emergency",0
40,"STF-0aaed714","Rebecca Henderson","nursing_assistant","emergency",1
41,"STF-0aaed714","Rebecca Henderson","nursing_assistant","emergency",1
42,"STF-0aaed714","Rebecca Henderson","nursing_assistant","emergency",0
43,"STF-0aaed714","Rebecca Henderson","nursing_assistant","emergency",1
44,"STF-0aaed714","Rebecca Henderson","nursing_assistant","emergency",1
45,"STF-0aaed714","Rebecca Henderson","nursing_assistant","emergency",0
46,"STF-0aaed714","Rebecca Henderson","nursing_assistant","emergency",0
47,"STF-0aaed714","Rebecca Henderson","nursing_assistant","emergency",1
48,"STF-0aaed714","Rebecca Henderson","nursing_assistant","emergency",0
49,"STF-0aaed714","Rebecca Henderson","nursing_assistant","emergency",1
50,"STF-0aaed714","Rebecca Henderson","nursing_assistant","emergency",1
51,"STF-0aaed714","Rebecca Henderson","nursing_assistant","emergency",0
52,"STF-0aaed714","Rebecca Henderson","nursing_assistant","emergency",1
1,"STF-30d44186","James Ferrell","nursing_assistant","emergency",1
2,"STF-30d44186","James Ferrell","nursing_assistant","emergency",1
3,"STF-30d44186","James Ferrell","nursing_assistant","emergency",0
4,"STF-30d44186","James Ferrell","nursing_assistant","emergency",1
5,"STF-30d44186","James Ferrell","nursing_assistant","emergency",1
6,"STF-30d44186","James Ferrell","nursing_assistant","emergency",0
7,"STF-30d44186","James Ferrell","nursing_assistant","emergency",1
8,"STF-30d44186","James Ferrell","nursing_assistant","emergency",1
9,"STF-30d44186","James Ferrell","nursing_assistant","emergency",0
10,"STF-30d44186","James Ferrell","nursing_assistant","emergency",0
11,"STF-30d44186","James Ferrell","nursing_assistant","emergency",1
12,"STF-30d44186","James Ferrell","nursing_assistant","emergency",0
13,"STF-30d44186","James Ferrell","nursing_assistant","emergency",1
14,"STF-30d44186","James Ferrell","nursing_assistant","emergency",1
15,"STF-30d44186","James Ferrell","nursing_assistant","emergency",0
16,"STF-30d44186","James Ferrell","nursing_assistant","emergency",1
17,"STF-30d44186","James Ferrell","nursing_assistant","emergency",1
18,"STF-30d44186","James Ferrell","nursing_assistant","emergency",0
19,"STF-30d44186","James Ferrell","nursing_assistant","emergency",1
20,"STF-30d44186","James Ferrell","nursing_assistant","emergency",1
21,"STF-30d44186","James Ferrell","nursing_assistant","emergency",0
22,"STF-30d44186","James Ferrell","nursing_assistant","emergency",1
23,"STF-30d44186","James Ferrell","nursing_assistant","emergency",1
24,"STF-30d44186","James Ferrell","nursing_assistant","emergency",0
25,"STF-30d44186","James Ferrell","nursing_assistant","emergency",1
